Customer ID,Age,Current Customer,Years at address,Employment status,Country,Current debt,Income,Own home,CCJs,Loan amount,Outcome
945780,19,Yes,2,Unemployed,UK,0,45500,Rent,1,13234,Paid
747989,66,Yes,13,Unemployed,UK,1080,18000,Own,0,5561,Paid
790344,48,Yes,4,Self Employed,UK,3690,47500,Rent,1,28288,Paid
597668,67,Yes,47,Self Employed,UK,6560,36000,Mortgage,0,30199,Paid
794971,70,No,8,Self Employed,UK,9100,50500,Own,0,35078,Paid
563000,77,Yes,5,Self Employed,UK,8850,14000,Mortgage,2,5513,Paid
1109089,28,Yes,3,Unemployed,UK,2150,49000,Own,1,6159,Paid
763562,47,No,1,Unemployed,UK,2560,30500,Own,0,25813,Paid
727243,25,Yes,8,Self Employed,UK,6130,40000,Own,0,25885,Paid
827260,89,Yes,49,Employed,UK,1090,34500,Own,3,15398,Paid
871886,78,Yes,46,Employed,UK,9820,36500,Own,0,18974,Defaulted
899694,62,No,23,Self Employed,UK,980,22500,Own,0,20925,Paid
820916,68,No,25,Employed,UK,9460,14500,Own,2,2218,Defaulted
977821,73,Yes,28,Self Employed,UK,8550,52000,Rent,0,41973,Defaulted
817398,72,No,25,Employed,UK,7790,51500,Rent,3,42697,Defaulted
1095868,20,No,1,Employed,UK,30,10500,Mortgage,1,4132,Paid
973693,43,No,18,Employed,UK,500,22500,Mortgage,3,21901,Defaulted
687118,83,No,37,Self Employed,UK,20,27500,Own,2,22036,Defaulted
608121,65,Yes,33,Self Employed,UK,3700,31000,Mortgage,0,19737,Paid
784391,82,No,32,Self Employed,UK,560,54000,Mortgage,1,31498,Paid
1072180,38,No,15,Unemployed,UK,1410,24500,Own,1,8089,Paid
1030954,44,No,4,Self Employed,UK,1940,12500,Mortgage,3,5589,Defaulted
892175,76,No,47,Self Employed,UK,4710,15000,Mortgage,0,318,Paid
984774,81,No,58,Employed,UK,2620,20000,Mortgage,1,14218,Defaulted
610796,19,Yes,2,Self Employed,UK,780,40000,Own,0,27177,Defaulted
577499,35,No,9,Self Employed,UK,1400,33000,Own,2,17267,Defaulted
654607,69,No,2,Self Employed,UK,10,42000,Own,0,7422,Paid
664618,30,No,1,Self Employed,UK,150,51500,Own,0,29792,Paid
639386,68,No,1,Self Employed,UK,3530,44500,Own,2,27439,Defaulted
981387,26,Yes,7,Unemployed,UK,4480,26500,Own,3,9548,Defaulted
592696,88,No,23,Self Employed,UK,4100,34500,Own,0,16079,Paid
1041347,79,No,25,Self Employed,UK,150,52000,Mortgage,0,18079,Paid
1092292,61,No,21,Self Employed,UK,660,50000,Rent,0,13624,Paid
572808,66,No,35,Unemployed,UK,1030,32000,Own,0,19593,Paid
991317,19,No,2,Self Employed,UK,1640,24000,Own,2,20772,Defaulted
937214,72,No,4,Self Employed,UK,1050,22500,Mortgage,0,4019,Paid
1097946,67,No,27,Self Employed,UK,8520,53000,Mortgage,2,313,Defaulted
1083794,45,No,2,Employed,UK,1290,39500,Mortgage,1,1976,Paid
991787,85,No,10,Self Employed,UK,3460,51000,Own,0,1584,Paid
1108891,35,No,3,Self Employed,UK,2310,18000,Mortgage,3,9708,Defaulted
1049352,85,Yes,23,Self Employed,UK,7160,28500,Own,0,13706,Paid
733305,26,Yes,2,Unemployed,UK,3490,53500,Own,0,47213,Paid
